车辆品牌,MOB,prepay_accum_rate
现代,1,0.00434552477443
现代,2,0.0108083513689
现代,3,0.017791940888
现代,4,0.0207961076657
现代,5,0.0259936096809
现代,6,0.0259936096809
现代,7,0.0284218591105
现代,8,0.0284218591105
现代,9,0.0284218591105
现代,10,0.0284218591105
现代,11,0.0304958799806
现代,12,0.0304958799806
现代,13,0.0304958799806
现代,14,0.0332941957989
现代,15,0.0332941957989
现代,16,0.0332941957989
现代,17,0.0332941957989
现代,18,0.0336952031012
现代,19,0.0336952031012
现代,20,0.0336952031012
现代,21,0.0336952031012
理念,1,0.0
理念,2,0.0
理念,3,0.0
理念,4,0.0
理念,5,0.0
理念,6,0.0
理念,7,0.0
理念,8,0.0
理念,9,0.0
理念,10,0.0
理念,11,0.0
理念,12,0.0
理念,13,0.0
瑞麒,1,0.0
瑞麒,2,0.0
瑞麒,3,0.0
瑞麒,4,0.0
瑞麒,5,0.0
瑞麒,6,0.0
瑞麒,7,0.0
瑞麒,8,0.0
瑞麒,9,0.0
瑞麒,10,0.0
瑞麒,11,0.0
瑞麒,12,0.0
瑞麒,13,0.0
福特,1,0.00770678417711
福特,2,0.00770678417711
福特,3,0.00770678417711
福特,4,0.0164566965546
福特,5,0.0193019876012
福特,6,0.0193019876012
福特,7,0.0193019876012
福特,8,0.0271112697715
福特,9,0.0271112697715
福特,10,0.0271112697715
福特,11,0.0285249433925
